nm,Abs,
600.00,  0.043,
599.00,  0.045,
598.00,  0.047,
597.00,  0.048,
596.00,  0.050,
595.00,  0.051,
594.00,  0.053,
593.00,  0.055,
592.00,  0.057,
591.00,  0.059,
590.00,  0.061,
589.00,  0.063,
588.00,  0.065,
587.00,  0.068,
586.00,  0.070,
585.00,  0.073,
584.00,  0.075,
583.00,  0.077,
582.00,  0.080,
581.00,  0.082,
580.00,  0.086,
579.00,  0.089,
578.00,  0.091,
577.00,  0.094,
576.00,  0.097,
575.00,  0.101,
574.00,  0.103,
573.00,  0.107,
572.00,  0.110,
571.00,  0.113,
570.00,  0.116,
569.00,  0.119,
568.00,  0.123,
567.00,  0.127,
566.00,  0.130,
565.00,  0.134,
564.00,  0.137,
563.00,  0.141,
562.00,  0.144,
561.00,  0.148,
560.00,  0.151,
559.00,  0.155,
558.00,  0.159,
557.00,  0.163,
556.00,  0.166,
555.00,  0.170,
554.00,  0.173,
553.00,  0.177,
552.00,  0.180,
551.00,  0.184,
550.00,  0.187,
549.00,  0.191,
548.00,  0.194,
547.00,  0.197,
546.00,  0.201,
545.00,  0.204,
544.00,  0.207,
543.00,  0.210,
542.00,  0.213,
541.00,  0.215,
540.00,  0.218,
539.00,  0.220,
538.00,  0.223,
537.00,  0.226,
536.00,  0.228,
535.00,  0.230,
534.00,  0.232,
533.00,  0.234,
532.00,  0.235,
531.00,  0.237,
530.00,  0.238,
529.00,  0.239,
528.00,  0.240,
527.00,  0.241,
526.00,  0.241,
525.00,  0.242,
524.00,  0.242,
523.00,  0.242,
522.00,  0.242,
521.00,  0.242,
520.00,  0.241,
519.00,  0.241,
518.00,  0.240,
517.00,  0.239,
516.00,  0.238,
515.00,  0.236,
514.00,  0.235,
513.00,  0.234,
512.00,  0.231,
511.00,  0.229,
510.00,  0.228,
509.00,  0.225,
508.00,  0.223,
507.00,  0.220,
506.00,  0.217,
505.00,  0.214,
504.00,  0.211,
503.00,  0.208,
502.00,  0.205,
501.00,  0.202,
500.00,  0.198,
499.00,  0.195,
498.00,  0.191,
497.00,  0.187,
496.00,  0.183,
495.00,  0.179,
494.00,  0.175,
493.00,  0.172,
492.00,  0.168,
491.00,  0.164,
490.00,  0.160,
489.00,  0.156,
488.00,  0.152,
487.00,  0.148,
486.00,  0.143,
485.00,  0.139,
484.00,  0.135,
483.00,  0.132,
482.00,  0.127,
481.00,  0.124,
480.00,  0.120,
479.00,  0.116,
478.00,  0.112,
477.00,  0.108,
476.00,  0.105,
475.00,  0.100,
474.00,  0.097,
473.00,  0.094,
472.00,  0.090,
471.00,  0.087,
470.00,  0.083,
469.00,  0.080,
468.00,  0.077,
467.00,  0.074,
466.00,  0.071,
465.00,  0.068,
464.00,  0.065,
463.00,  0.062,
462.00,  0.060,
461.00,  0.057,
460.00,  0.055,
459.00,  0.052,
458.00,  0.050,
457.00,  0.048,
456.00,  0.045,
455.00,  0.043,
454.00,  0.041,
453.00,  0.040,
452.00,  0.038,
451.00,  0.036,
