nm,Abs,
600.00,  0.019,
599.00,  0.019,
598.00,  0.019,
597.00,  0.018,
596.00,  0.019,
595.00,  0.019,
594.00,  0.019,
593.00,  0.019,
592.00,  0.019,
591.00,  0.019,
590.00,  0.019,
589.00,  0.019,
588.00,  0.019,
587.00,  0.019,
586.00,  0.019,
585.00,  0.019,
584.00,  0.019,
583.00,  0.019,
582.00,  0.020,
581.00,  0.019,
580.00,  0.019,
579.00,  0.020,
578.00,  0.019,
577.00,  0.020,
576.00,  0.019,
575.00,  0.020,
574.00,  0.019,
573.00,  0.020,
572.00,  0.020,
571.00,  0.020,
570.00,  0.019,
569.00,  0.020,
568.00,  0.020,
567.00,  0.020,
566.00,  0.020,
565.00,  0.020,
564.00,  0.020,
563.00,  0.020,
562.00,  0.020,
561.00,  0.021,
560.00,  0.020,
559.00,  0.020,
558.00,  0.021,
557.00,  0.021,
556.00,  0.020,
555.00,  0.021,
554.00,  0.020,
553.00,  0.021,
552.00,  0.021,
551.00,  0.021,
550.00,  0.021,
549.00,  0.021,
548.00,  0.021,
547.00,  0.021,
546.00,  0.021,
545.00,  0.021,
544.00,  0.021,
543.00,  0.022,
542.00,  0.021,
541.00,  0.022,
540.00,  0.021,
539.00,  0.022,
538.00,  0.022,
537.00,  0.022,
536.00,  0.022,
535.00,  0.022,
534.00,  0.022,
533.00,  0.022,
532.00,  0.022,
531.00,  0.019,
530.00,  0.019,
529.00,  0.019,
528.00,  0.019,
527.00,  0.019,
526.00,  0.019,
525.00,  0.019,
524.00,  0.019,
523.00,  0.019,
522.00,  0.019,
521.00,  0.019,
520.00,  0.019,
519.00,  0.019,
518.00,  0.019,
517.00,  0.019,
516.00,  0.019,
515.00,  0.019,
514.00,  0.019,
513.00,  0.020,
512.00,  0.019,
511.00,  0.020,
510.00,  0.020,
509.00,  0.020,
508.00,  0.020,
507.00,  0.020,
506.00,  0.020,
505.00,  0.020,
504.00,  0.020,
503.00,  0.020,
502.00,  0.020,
501.00,  0.020,
500.00,  0.020,
499.00,  0.020,
498.00,  0.020,
497.00,  0.020,
496.00,  0.021,
495.00,  0.020,
494.00,  0.020,
493.00,  0.020,
492.00,  0.021,
491.00,  0.021,
490.00,  0.021,
489.00,  0.021,
488.00,  0.021,
487.00,  0.021,
486.00,  0.021,
485.00,  0.021,
484.00,  0.021,
483.00,  0.021,
482.00,  0.021,
481.00,  0.021,
480.00,  0.021,
479.00,  0.021,
478.00,  0.021,
477.00,  0.021,
476.00,  0.022,
475.00,  0.022,
474.00,  0.022,
473.00,  0.021,
472.00,  0.021,
471.00,  0.022,
470.00,  0.022,
469.00,  0.021,
468.00,  0.022,
467.00,  0.022,
466.00,  0.022,
465.00,  0.022,
464.00,  0.022,
463.00,  0.022,
462.00,  0.022,
461.00,  0.022,
460.00,  0.022,
459.00,  0.022,
458.00,  0.022,
457.00,  0.022,
456.00,  0.022,
455.00,  0.022,
454.00,  0.022,
453.00,  0.023,
452.00,  0.022,
451.00,  0.023,
450.00,  0.023,
449.00,  0.023,
448.00,  0.023,
447.00,  0.023,
446.00,  0.023,
445.00,  0.024,
444.00,  0.024,
443.00,  0.024,
442.00,  0.024,
441.00,  0.024,
440.00,  0.023,
439.00,  0.023,
438.00,  0.024,
437.00,  0.024,
436.00,  0.024,
435.00,  0.024,
434.00,  0.024,
433.00,  0.024,
432.00,  0.024,
431.00,  0.024,
430.00,  0.025,
429.00,  0.025,
428.00,  0.025,
427.00,  0.025,
426.00,  0.025,
425.00,  0.025,
424.00,  0.025,
423.00,  0.025,
422.00,  0.031,
421.00,  0.030,
420.00,  0.031,
419.00,  0.030,
418.00,  0.031,
417.00,  0.031,
416.00,  0.031,
415.00,  0.032,
414.00,  0.031,
413.00,  0.031,
412.00,  0.032,
411.00,  0.032,
410.00,  0.032,
409.00,  0.031,
408.00,  0.032,
407.00,  0.032,
406.00,  0.033,
405.00,  0.033,
404.00,  0.032,
403.00,  0.033,
402.00,  0.033,
401.00,  0.033,
400.00,  0.033,
399.00,  0.034,
398.00,  0.034,
397.00,  0.034,
396.00,  0.034,
395.00,  0.034,
394.00,  0.034,
393.00,  0.034,
