nm,Abs,
600.00,  0.046,
599.00,  0.047,
598.00,  0.048,
597.00,  0.049,
596.00,  0.050,
595.00,  0.051,
594.00,  0.052,
593.00,  0.053,
592.00,  0.055,
591.00,  0.055,
590.00,  0.057,
589.00,  0.058,
588.00,  0.059,
587.00,  0.061,
586.00,  0.062,
585.00,  0.064,
584.00,  0.065,
583.00,  0.067,
582.00,  0.068,
581.00,  0.070,
580.00,  0.072,
579.00,  0.074,
578.00,  0.076,
577.00,  0.078,
576.00,  0.080,
575.00,  0.082,
574.00,  0.084,
573.00,  0.086,
572.00,  0.088,
571.00,  0.091,
570.00,  0.092,
569.00,  0.095,
568.00,  0.097,
567.00,  0.100,
566.00,  0.102,
565.00,  0.105,
564.00,  0.107,
563.00,  0.110,
562.00,  0.113,
561.00,  0.116,
560.00,  0.118,
559.00,  0.121,
558.00,  0.124,
557.00,  0.127,
556.00,  0.130,
555.00,  0.133,
554.00,  0.136,
553.00,  0.139,
552.00,  0.142,
551.00,  0.145,
550.00,  0.148,
549.00,  0.151,
548.00,  0.154,
547.00,  0.158,
546.00,  0.161,
545.00,  0.164,
544.00,  0.167,
543.00,  0.170,
542.00,  0.173,
541.00,  0.176,
540.00,  0.179,
539.00,  0.183,
538.00,  0.186,
537.00,  0.189,
536.00,  0.192,
535.00,  0.195,
534.00,  0.198,
533.00,  0.201,
532.00,  0.203,
531.00,  0.202,
530.00,  0.204,
529.00,  0.207,
528.00,  0.209,
527.00,  0.212,
526.00,  0.214,
525.00,  0.217,
524.00,  0.219,
523.00,  0.220,
522.00,  0.223,
521.00,  0.225,
520.00,  0.226,
519.00,  0.228,
518.00,  0.229,
517.00,  0.231,
516.00,  0.232,
515.00,  0.233,
514.00,  0.234,
513.00,  0.235,
512.00,  0.236,
511.00,  0.236,
510.00,  0.237,
509.00,  0.237,
508.00,  0.237,
507.00,  0.238,
506.00,  0.238,
505.00,  0.237,
504.00,  0.237,
503.00,  0.236,
502.00,  0.236,
501.00,  0.235,
500.00,  0.234,
499.00,  0.233,
498.00,  0.232,
497.00,  0.230,
496.00,  0.229,
495.00,  0.227,
494.00,  0.225,
493.00,  0.223,
492.00,  0.222,
491.00,  0.220,
490.00,  0.217,
489.00,  0.215,
488.00,  0.213,
487.00,  0.210,
486.00,  0.207,
485.00,  0.205,
484.00,  0.201,
483.00,  0.199,
482.00,  0.196,
481.00,  0.193,
480.00,  0.190,
479.00,  0.186,
478.00,  0.183,
477.00,  0.179,
476.00,  0.176,
475.00,  0.173,
474.00,  0.169,
473.00,  0.166,
472.00,  0.162,
471.00,  0.159,
470.00,  0.156,
469.00,  0.152,
468.00,  0.149,
467.00,  0.145,
466.00,  0.141,
465.00,  0.137,
464.00,  0.134,
463.00,  0.131,
462.00,  0.127,
461.00,  0.124,
460.00,  0.120,
459.00,  0.117,
458.00,  0.114,
457.00,  0.111,
456.00,  0.107,
455.00,  0.104,
454.00,  0.101,
453.00,  0.099,
452.00,  0.096,
451.00,  0.093,
450.00,  0.090,
449.00,  0.087,
448.00,  0.084,
447.00,  0.081,
446.00,  0.079,
445.00,  0.077,
444.00,  0.075,
443.00,  0.073,
442.00,  0.071,
441.00,  0.068,
440.00,  0.066,
439.00,  0.065,
438.00,  0.063,
437.00,  0.061,
436.00,  0.059,
435.00,  0.058,
434.00,  0.057,
433.00,  0.055,
432.00,  0.054,
431.00,  0.053,
430.00,  0.051,
429.00,  0.051,
428.00,  0.050,
427.00,  0.049,
426.00,  0.048,
425.00,  0.048,
424.00,  0.048,
423.00,  0.047,
422.00,  0.055,
421.00,  0.054,
420.00,  0.054,
419.00,  0.054,
418.00,  0.055,
417.00,  0.054,
416.00,  0.055,
415.00,  0.056,
414.00,  0.056,
413.00,  0.057,
412.00,  0.058,
411.00,  0.059,
410.00,  0.059,
409.00,  0.060,
408.00,  0.062,
407.00,  0.064,
406.00,  0.065,
405.00,  0.068,
404.00,  0.069,
403.00,  0.072,
402.00,  0.074,
401.00,  0.076,
400.00,  0.080,
399.00,  0.083,
398.00,  0.087,
397.00,  0.090,
396.00,  0.095,
395.00,  0.099,
394.00,  0.103,
393.00,  0.108,
392.00,  0.113,
391.00,  0.118,
390.00,  0.124,
389.00,  0.131,
388.00,  0.138,
387.00,  0.145,
386.00,  0.153,
385.00,  0.161,
384.00,  0.169,
383.00,  0.178,
382.00,  0.187,
381.00,  0.198,
380.00,  0.208,
379.00,  0.220,
378.00,  0.232,
377.00,  0.245,
376.00,  0.259,
375.00,  0.272,
374.00,  0.286,
373.00,  0.301,
372.00,  0.316,
371.00,  0.332,
370.00,  0.350,
369.00,  0.368,
368.00,  0.387,
367.00,  0.407,
366.00,  0.426,
365.00,  0.446,
364.00,  0.466,
363.00,  0.486,
362.00,  0.506,
361.00,  0.538,
360.00,  0.561,
359.00,  0.586,
358.00,  0.611,
357.00,  0.635,
356.00,  0.661,
355.00,  0.686,
354.00,  0.709,
353.00,  0.734,
352.00,  0.756,
351.00,  0.780,
350.00,  0.805,
349.00,  0.830,
348.00,  0.854,
347.00,  0.879,
346.00,  0.902,
345.00,  0.923,
344.00,  0.943,
343.00,  0.961,
342.00,  0.980,
341.00,  0.995,
340.00,  1.013,
339.00,  1.027,
338.00,  1.041,
337.00,  1.053,
336.00,  1.065,
335.00,  1.076,
334.00,  1.083,
333.00,  1.087,
332.00,  1.091,
331.00,  1.094,
330.00,  1.095,
329.00,  1.094,
328.00,  1.091,
327.00,  1.088,
326.00,  1.081,
325.00,  1.075,
324.00,  1.068,
323.00,  1.060,
322.00,  1.050,
321.00,  1.038,
320.00,  1.026,
319.00,  1.013,
318.00,  0.999,
317.00,  0.983,
316.00,  0.969,
315.00,  0.952,
314.00,  0.938,
313.00,  0.925,
312.00,  0.909,
311.00,  0.893,
310.00,  0.877,
309.00,  0.861,
308.00,  0.844,
307.00,  0.829,
306.00,  0.815,
305.00,  0.801,
304.00,  0.786,
303.00,  0.772,
302.00,  0.758,
301.00,  0.743,
300.00,  0.728,
299.00,  0.714,
298.00,  0.700,
297.00,  0.688,
296.00,  0.677,
295.00,  0.669,
294.00,  0.662,
293.00,  0.658,
292.00,  0.659,
291.00,  0.668,
290.00,  0.693,
289.00,  0.744,
288.00,  0.845,
287.00,  1.021,
286.00,  1.312,
285.00,  1.816,
284.00,  3.235,
283.00,  9.999,
282.00,  9.999,
281.00,  9.999,
280.00,  9.999,
279.00,  9.999,
278.00,  9.999,
277.00,  9.999,
276.00,  9.999,
275.00,  9.999,
274.00,  9.999,
273.00,  9.999,
272.00,  9.999,
271.00,  9.999,
270.00,  9.999,
269.00,  9.999,
268.00,  9.999,
267.00,  9.999,
266.00,  9.999,
265.00,  9.999,
264.00,  9.999,
263.00,  9.999,
262.00,  9.999,
261.00,  9.999,
260.00,  9.999,
259.00,  9.999,
258.00,  9.999,
257.00,  9.999,
256.00,  9.999,
255.00,  9.999,
254.00,  9.999,
253.00,  9.999,
252.00,  9.999,
251.00,  9.999,
250.00,  9.999,
249.00,  9.999,
248.00,  9.999,
247.00,  9.999,
246.00,  9.999,
245.00,  9.999,
244.00,  9.999,
243.00,  9.999,
242.00,  9.999,
241.00,  9.999,
240.00,  9.999,
239.00,  9.999,
238.00,  9.999,
237.00,  9.999,
236.00,  9.999,
235.00,  9.999,
234.00,  9.999,
233.00,  9.999,
232.00,  9.999,
231.00,  9.999,
230.00,  9.999,
229.00,  9.999,
228.00,  9.999,
227.00,  9.999,
226.00,  9.999,
225.00,  9.999,
224.00,  9.999,
223.00,  9.999,
222.00,  9.999,
221.00,  9.999,
220.00,  9.999,
219.00,  9.999,
218.00,  9.999,
217.00,  5.455,
216.00,  3.767,
215.00,  3.090,
214.00,  2.590,
213.00,  2.343,
212.00,  2.046,
211.00,  1.677,
210.00,  1.210,
209.00,  0.828,
208.00,  0.676,
207.00,  0.627,
206.00,  0.574,
205.00,  0.543,
204.00,  0.525,
203.00,  0.518,
202.00,  0.511,
201.00,  0.508,
200.00,  0.499,
