nm,Abs
600,0.014
599,0.015
598,0.015
597,0.015
596,0.015
595,0.016
594,0.017
593,0.017
592,0.017
591,0.018
590,0.019
589,0.019
588,0.02
587,0.02
586,0.021
585,0.022
584,0.022
583,0.023
582,0.024
581,0.025
580,0.025
579,0.026
578,0.027
577,0.028
576,0.029
575,0.03
574,0.03
573,0.032
572,0.032
571,0.034
570,0.034
569,0.035
568,0.036
567,0.037
566,0.039
565,0.04
564,0.041
563,0.043
562,0.043
561,0.045
560,0.046
559,0.047
558,0.049
557,0.05
556,0.051
555,0.053
554,0.054
553,0.055
552,0.056
551,0.058
550,0.06
549,0.061
548,0.063
547,0.064
546,0.065
545,0.067
544,0.068
543,0.07
542,0.071
541,0.072
540,0.074
539,0.075
538,0.077
537,0.079
536,0.08
535,0.081
534,0.082
533,0.084
532,0.085
531,0.086
530,0.087
529,0.088
528,0.09
527,0.091
526,0.092
525,0.093
524,0.094
523,0.095
522,0.096
521,0.097
520,0.097
519,0.098
518,0.099
517,0.099
516,0.1
515,0.101
514,0.101
513,0.102
512,0.102
511,0.102
510,0.103
509,0.103
508,0.103
507,0.103
506,0.103
505,0.103
504,0.102
503,0.103
502,0.102
501,0.102
500,0.101
499,0.101
498,0.101
497,0.1
496,0.099
495,0.098
494,0.098
493,0.097
492,0.096
491,0.095
490,0.094
489,0.093
488,0.092
487,0.09
486,0.09
485,0.088
484,0.087
483,0.086
482,0.084
481,0.083
480,0.081
479,0.079
478,0.078
477,0.077
476,0.075
475,0.074
474,0.072
473,0.07
472,0.068
471,0.067
470,0.065
469,0.064
468,0.062
467,0.06
466,0.059
465,0.057
464,0.055
463,0.053
462,0.052
461,0.05
460,0.048
459,0.047
458,0.045
457,0.044
456,0.042
455,0.041
454,0.039
453,0.038
452,0.037
451,0.035
450,0.034
449,0.033
448,0.031
447,0.03
446,0.029
445,0.028
444,0.027
443,0.026
442,0.025
441,0.024
440,0.023
439,0.022
438,0.021
437,0.02
436,0.02
435,0.019
434,0.018
433,0.018
432,0.017
431,0.016
430,0.016
429,0.015
428,0.015
427,0.014
426,0.014
425,0.014
424,0.014
423,0.013
422,0.013
421,0.013
420,0.013
419,0.013
418,0.014
417,0.013
416,0.014
415,0.014
414,0.014
413,0.014
412,0.015
411,0.015
410,0.015
409,0.016
408,0.017
407,0.018
406,0.019
405,0.02
404,0.02
403,0.021
402,0.023
401,0.023
400,0.025
399,0.027
398,0.028
397,0.03
396,0.032
395,0.034
394,0.036
393,0.038
392,0.041
391,0.043
390,0.046
389,0.049
388,0.052
387,0.056
386,0.06
385,0.063
384,0.068
383,0.072
382,0.076
381,0.081
380,0.086
379,0.092
378,0.098
377,0.104
376,0.111
375,0.117
374,0.124
373,0.131
372,0.139
371,0.146
370,0.155
369,0.164
368,0.174
367,0.183
366,0.193
365,0.202
364,0.212
363,0.222
362,0.232
361,0.247
360,0.258
359,0.27
358,0.282
357,0.294
356,0.307
355,0.318
354,0.33
353,0.342
352,0.353
351,0.364
350,0.377
349,0.389
348,0.401
347,0.413
346,0.425
345,0.435
344,0.444
343,0.453
342,0.462
341,0.47
340,0.478
339,0.486
338,0.492
337,0.499
336,0.504
335,0.509
334,0.512
333,0.515
332,0.516
331,0.517
330,0.518
329,0.517
328,0.516
327,0.514
326,0.511
325,0.506
324,0.503
323,0.499
322,0.493
321,0.487
320,0.48
319,0.472
318,0.463
317,0.455
316,0.447
315,0.438
314,0.429
313,0.422
312,0.413
311,0.404
310,0.396
309,0.387
308,0.378
307,0.37
306,0.362
305,0.355
304,0.346
303,0.339
302,0.331
301,0.323
300,0.316
299,0.308
298,0.301
297,0.295
296,0.29
295,0.286
294,0.286
293,0.287
292,0.295
291,0.312
290,0.347
289,0.411
288,0.532
287,0.735
286,1.065
